,T,Training Error,Training Error %,Testing Error,Testing Error %
285,285,2784,55.67999999999999,2803,56.06
286,286,2964,59.28,2974,59.48
287,287,1773,35.46,1738,34.760000000000005
288,288,4319,86.38,4308,86.16
289,289,773,15.459999999999999,802,16.04
290,290,1047,20.94,1052,21.04
291,291,2616,52.32,2649,52.980000000000004
292,292,4319,86.38,4308,86.16
293,293,596,11.92,624,12.479999999999999
294,294,3800,76.0,3749,74.98
295,295,2230,44.6,2231,44.62
296,296,2612,52.239999999999995,2609,52.18000000000001
297,297,1142,22.84,1180,23.599999999999998
298,298,3700,74.0,3660,73.2
299,299,2228,44.56,2251,45.019999999999996
300,300,2742,54.84,2726,54.52
301,301,2228,44.56,2251,45.019999999999996
302,302,2742,54.84,2726,54.52
303,303,2228,44.56,2251,45.019999999999996
304,304,2742,54.84,2726,54.52
305,305,2228,44.56,2251,45.019999999999996
306,306,2742,54.84,2726,54.52
307,307,2228,44.56,2251,45.019999999999996
308,308,2742,54.84,2726,54.52
309,309,2258,45.16,2279,45.58
310,310,2579,51.580000000000005,2559,51.18000000000001
311,311,2361,47.22,2390,47.8
312,312,1731,34.62,1795,35.9
313,313,3388,67.75999999999999,3327,66.53999999999999
314,314,2311,46.22,2289,45.78
315,315,2112,42.24,2215,44.3
316,316,2521,50.42,2560,51.2
317,317,3099,61.980000000000004,3072,61.44
318,318,596,11.92,624,12.479999999999999
319,319,2966,59.31999999999999,2899,57.98
320,320,2913,58.26,2971,59.419999999999995
321,321,2554,51.080000000000005,2521,50.42
322,322,2938,58.76,2927,58.540000000000006
323,323,2032,40.64,2050,41.0
324,324,3067,61.339999999999996,3057,61.14000000000001
325,325,1903,38.06,1920,38.4
326,326,3200,64.0,3196,63.92
327,327,1770,35.4,1781,35.620000000000005
328,328,3200,64.0,3196,63.92
329,329,1770,35.4,1781,35.620000000000005
330,330,3067,61.339999999999996,3057,61.14000000000001
331,331,1903,38.06,1920,38.4
332,332,3249,64.98,3237,64.74
333,333,1721,34.42,1740,34.8
334,334,2938,58.76,2927,58.540000000000006
335,335,1656,33.12,1631,32.62
336,336,2411,48.22,2380,47.599999999999994
337,337,4116,82.32000000000001,4099,81.98
338,338,726,14.52,772,15.440000000000001
339,339,4374,87.48,4353,87.06
340,340,4319,86.38,4308,86.16
341,341,1716,34.32,1673,33.46
342,342,3056,61.12,3084,61.68
343,343,2426,48.52,2384,47.68
