,T,Training Error,Training Error %,Testing Error,Testing Error %
255,255,514,10.280000000000001,536,10.72
256,256,514,10.280000000000001,536,10.72
257,257,514,10.280000000000001,536,10.72
258,258,514,10.280000000000001,536,10.72
259,259,514,10.280000000000001,536,10.72
260,260,514,10.280000000000001,536,10.72
261,261,514,10.280000000000001,536,10.72
262,262,514,10.280000000000001,536,10.72
263,263,514,10.280000000000001,536,10.72
264,264,514,10.280000000000001,536,10.72
265,265,514,10.280000000000001,536,10.72
266,266,514,10.280000000000001,536,10.72
267,267,514,10.280000000000001,536,10.72
268,268,514,10.280000000000001,536,10.72
269,269,514,10.280000000000001,536,10.72
270,270,514,10.280000000000001,536,10.72
271,271,514,10.280000000000001,536,10.72
272,272,514,10.280000000000001,536,10.72
273,273,514,10.280000000000001,536,10.72
274,274,514,10.280000000000001,536,10.72
275,275,514,10.280000000000001,536,10.72
276,276,514,10.280000000000001,536,10.72
277,277,514,10.280000000000001,536,10.72
278,278,514,10.280000000000001,536,10.72
279,279,514,10.280000000000001,536,10.72
280,280,514,10.280000000000001,536,10.72
281,281,514,10.280000000000001,536,10.72
282,282,514,10.280000000000001,536,10.72
283,283,514,10.280000000000001,536,10.72
284,284,514,10.280000000000001,536,10.72
285,285,514,10.280000000000001,536,10.72
286,286,514,10.280000000000001,536,10.72
287,287,514,10.280000000000001,536,10.72
288,288,514,10.280000000000001,536,10.72
289,289,514,10.280000000000001,536,10.72
290,290,514,10.280000000000001,537,10.74
291,291,514,10.280000000000001,536,10.72
292,292,514,10.280000000000001,536,10.72
293,293,514,10.280000000000001,536,10.72
294,294,514,10.280000000000001,536,10.72
295,295,514,10.280000000000001,536,10.72
296,296,514,10.280000000000001,536,10.72
297,297,514,10.280000000000001,536,10.72
298,298,514,10.280000000000001,536,10.72
299,299,514,10.280000000000001,536,10.72
300,300,514,10.280000000000001,536,10.72
301,301,514,10.280000000000001,536,10.72
302,302,514,10.280000000000001,536,10.72
303,303,514,10.280000000000001,536,10.72
304,304,514,10.280000000000001,536,10.72
305,305,514,10.280000000000001,536,10.72
306,306,514,10.280000000000001,536,10.72
307,307,514,10.280000000000001,536,10.72
308,308,514,10.280000000000001,536,10.72
309,309,514,10.280000000000001,536,10.72
310,310,514,10.280000000000001,536,10.72
311,311,514,10.280000000000001,536,10.72
312,312,514,10.280000000000001,536,10.72
313,313,514,10.280000000000001,536,10.72
314,314,514,10.280000000000001,536,10.72
315,315,514,10.280000000000001,536,10.72
316,316,514,10.280000000000001,536,10.72
317,317,514,10.280000000000001,537,10.74
318,318,514,10.280000000000001,537,10.74
319,319,514,10.280000000000001,536,10.72
320,320,514,10.280000000000001,536,10.72
321,321,514,10.280000000000001,536,10.72
322,322,514,10.280000000000001,536,10.72
323,323,514,10.280000000000001,536,10.72
324,324,514,10.280000000000001,536,10.72
325,325,514,10.280000000000001,536,10.72
