,T,Training Error,Training Error %,Testing Error,Testing Error %
274,274,271,5.42,567,11.34
275,275,275,5.5,570,11.4
276,276,272,5.4399999999999995,568,11.360000000000001
277,277,275,5.5,571,11.42
278,278,270,5.4,569,11.379999999999999
279,279,273,5.46,570,11.4
280,280,269,5.38,569,11.379999999999999
281,281,273,5.46,571,11.42
282,282,270,5.4,570,11.4
283,283,273,5.46,573,11.459999999999999
284,284,272,5.4399999999999995,572,11.44
285,285,276,5.52,573,11.459999999999999
286,286,275,5.5,571,11.42
287,287,276,5.52,573,11.459999999999999
288,288,273,5.46,570,11.4
289,289,276,5.52,574,11.48
290,290,275,5.5,570,11.4
291,291,275,5.5,572,11.44
292,292,273,5.46,572,11.44
293,293,277,5.54,574,11.48
294,294,271,5.42,571,11.42
295,295,275,5.5,573,11.459999999999999
296,296,269,5.38,571,11.42
297,297,273,5.46,573,11.459999999999999
298,298,272,5.4399999999999995,568,11.360000000000001
299,299,273,5.46,573,11.459999999999999
300,300,270,5.4,570,11.4
301,301,274,5.48,572,11.44
302,302,269,5.38,570,11.4
303,303,271,5.42,572,11.44
304,304,268,5.36,570,11.4
305,305,274,5.48,571,11.42
306,306,267,5.34,568,11.360000000000001
307,307,273,5.46,570,11.4
308,308,268,5.36,567,11.34
309,309,271,5.42,570,11.4
310,310,268,5.36,567,11.34
311,311,271,5.42,568,11.360000000000001
312,312,268,5.36,567,11.34
313,313,271,5.42,568,11.360000000000001
314,314,268,5.36,566,11.32
315,315,268,5.36,568,11.360000000000001
316,316,267,5.34,567,11.34
317,317,268,5.36,570,11.4
318,318,268,5.36,569,11.379999999999999
319,319,269,5.38,570,11.4
320,320,268,5.36,569,11.379999999999999
321,321,269,5.38,569,11.379999999999999
322,322,267,5.34,567,11.34
323,323,268,5.36,569,11.379999999999999
324,324,268,5.36,568,11.360000000000001
325,325,270,5.4,568,11.360000000000001
326,326,268,5.36,568,11.360000000000001
327,327,269,5.38,569,11.379999999999999
328,328,268,5.36,569,11.379999999999999
329,329,270,5.4,569,11.379999999999999
330,330,266,5.319999999999999,568,11.360000000000001
331,331,269,5.38,568,11.360000000000001
332,332,266,5.319999999999999,567,11.34
333,333,269,5.38,568,11.360000000000001
334,334,266,5.319999999999999,568,11.360000000000001
335,335,269,5.38,568,11.360000000000001
336,336,267,5.34,568,11.360000000000001
337,337,269,5.38,568,11.360000000000001
338,338,267,5.34,566,11.32
339,339,268,5.36,567,11.34
340,340,267,5.34,567,11.34
341,341,268,5.36,567,11.34
342,342,268,5.36,566,11.32
343,343,268,5.36,566,11.32
344,344,267,5.34,565,11.3
345,345,269,5.38,566,11.32
346,346,268,5.36,566,11.32
347,347,268,5.36,568,11.360000000000001
348,348,267,5.34,565,11.3
349,349,271,5.42,566,11.32
350,350,271,5.42,565,11.3
351,351,271,5.42,568,11.360000000000001
352,352,269,5.38,568,11.360000000000001
353,353,271,5.42,568,11.360000000000001
354,354,268,5.36,565,11.3
355,355,271,5.42,567,11.34
356,356,268,5.36,564,11.28
357,357,271,5.42,567,11.34
358,358,269,5.38,565,11.3
359,359,271,5.42,567,11.34
360,360,269,5.38,564,11.28
361,361,271,5.42,565,11.3
362,362,268,5.36,562,11.24
363,363,272,5.4399999999999995,565,11.3
364,364,267,5.34,562,11.24
365,365,271,5.42,564,11.28
366,366,269,5.38,564,11.28
367,367,273,5.46,565,11.3
368,368,268,5.36,565,11.3
369,369,269,5.38,566,11.32
370,370,268,5.36,565,11.3
371,371,268,5.36,566,11.32
372,372,266,5.319999999999999,566,11.32
373,373,270,5.4,566,11.32
374,374,268,5.36,564,11.28
375,375,269,5.38,570,11.4
376,376,265,5.3,569,11.379999999999999
377,377,267,5.34,569,11.379999999999999
378,378,264,5.28,567,11.34
379,379,267,5.34,567,11.34
380,380,265,5.3,565,11.3
381,381,268,5.36,568,11.360000000000001
382,382,268,5.36,566,11.32
383,383,268,5.36,567,11.34
384,384,265,5.3,567,11.34
385,385,267,5.34,568,11.360000000000001
386,386,265,5.3,567,11.34
387,387,269,5.38,567,11.34
388,388,265,5.3,567,11.34
389,389,268,5.36,571,11.42
390,390,268,5.36,568,11.360000000000001
391,391,269,5.38,570,11.4
392,392,267,5.34,568,11.360000000000001
393,393,268,5.36,570,11.4
394,394,265,5.3,569,11.379999999999999
395,395,266,5.319999999999999,571,11.42
396,396,265,5.3,569,11.379999999999999
397,397,266,5.319999999999999,571,11.42
398,398,266,5.319999999999999,571,11.42
399,399,266,5.319999999999999,571,11.42
400,400,264,5.28,569,11.379999999999999
401,401,266,5.319999999999999,569,11.379999999999999
402,402,266,5.319999999999999,569,11.379999999999999
403,403,266,5.319999999999999,570,11.4
404,404,266,5.319999999999999,569,11.379999999999999
405,405,266,5.319999999999999,571,11.42
406,406,265,5.3,570,11.4
407,407,267,5.34,572,11.44
408,408,266,5.319999999999999,569,11.379999999999999
409,409,267,5.34,570,11.4
410,410,266,5.319999999999999,568,11.360000000000001
411,411,267,5.34,570,11.4
412,412,266,5.319999999999999,569,11.379999999999999
413,413,268,5.36,570,11.4
414,414,268,5.36,568,11.360000000000001
415,415,268,5.36,569,11.379999999999999
416,416,267,5.34,569,11.379999999999999
417,417,268,5.36,569,11.379999999999999
418,418,268,5.36,568,11.360000000000001
419,419,269,5.38,570,11.4
420,420,268,5.36,570,11.4
421,421,269,5.38,570,11.4
422,422,266,5.319999999999999,569,11.379999999999999
423,423,268,5.36,569,11.379999999999999
424,424,267,5.34,567,11.34
425,425,268,5.36,571,11.42
426,426,265,5.3,570,11.4
427,427,266,5.319999999999999,570,11.4
428,428,266,5.319999999999999,569,11.379999999999999
429,429,266,5.319999999999999,571,11.42
430,430,265,5.3,570,11.4
431,431,267,5.34,572,11.44
432,432,265,5.3,570,11.4
433,433,268,5.36,571,11.42
434,434,265,5.3,570,11.4
435,435,268,5.36,571,11.42
436,436,267,5.34,568,11.360000000000001
437,437,267,5.34,570,11.4
