,Iterations,Cost
573,573,15.8357956
574,574,15.83800176
575,575,15.86209824
576,576,15.86805104
577,577,15.86460016
578,578,15.86859861
579,579,15.87445002
580,580,15.8807242
581,581,15.87499761
582,582,15.82983244
583,583,15.84195417
584,584,15.92070267
585,585,15.90866874
586,586,15.82470283
587,587,15.81679
588,588,15.81978113
589,589,15.83466025
590,590,15.90985584
591,591,15.91348117
592,592,15.84515401
593,593,15.76621163
594,594,15.78153106
595,595,15.78185456
596,596,15.77668791
597,597,15.76372125
598,598,15.66827024
599,599,15.70274869
600,600,15.73566351
601,601,15.73385268
602,602,15.75789952
603,603,15.77313391
604,604,15.81745628
605,605,15.8309806
606,606,15.82351874
607,607,15.81940217
608,608,15.81499903
609,609,15.86353512
610,610,15.86374698
611,611,15.8698568
612,612,15.87271342
613,613,15.89747229
614,614,15.83022339
615,615,15.9486042
616,616,15.94855884
617,617,15.77763581
618,618,15.74389332
619,619,15.74560854
620,620,15.75389227
621,621,15.7569016
622,622,15.94789526
623,623,15.9212278
624,624,15.90839005
625,625,15.8280383
626,626,15.82605543
627,627,15.77546884
628,628,15.96462473
629,629,15.96618045
630,630,15.97675362
631,631,15.94556001
632,632,15.95930066
633,633,15.95958142
634,634,15.9655099
635,635,15.9143588
636,636,15.94017373
637,637,15.86636667
638,638,15.81635421
639,639,15.81179055
640,640,15.92955276
641,641,15.9629101
642,642,15.96706238
643,643,16.04521384
644,644,15.9667757
645,645,15.88670856
646,646,15.87610132
647,647,15.86594757
648,648,15.80642041
649,649,15.79629273
650,650,15.7964144
651,651,15.88868868
652,652,15.84279562
653,653,15.78554954
654,654,15.78409795
655,655,15.76680181
656,656,15.76910513
657,657,15.76120082
658,658,15.71195584
659,659,15.71683969
660,660,15.75608929
661,661,15.7914073
662,662,15.7936156
663,663,15.79103959
664,664,15.79811056
665,665,15.71811319
666,666,15.68283964
667,667,15.7161174
668,668,15.78640615
669,669,15.82461055
670,670,15.84774552
671,671,15.88404194
672,672,15.94796015
673,673,15.92535279
674,674,15.9104665
675,675,15.9303706
676,676,15.89330071
677,677,15.92854365
678,678,15.90485334
679,679,15.91008162
680,680,15.90924316
681,681,15.96874409
682,682,16.0057949
683,683,15.93339035
684,684,15.92511548
685,685,15.97250393
686,686,15.96830319
687,687,16.05409414
688,688,16.10286506
689,689,16.08777195
690,690,16.16697207
691,691,16.15964678
692,692,16.10716005
693,693,16.09126007
694,694,16.14092136
695,695,16.1109385
696,696,16.09525494
697,697,16.11668985
698,698,16.2373224
699,699,16.37548633
700,700,16.46151872
701,701,16.53669659
702,702,16.63309514
703,703,16.60055125
704,704,16.6254122
705,705,16.66227086
706,706,16.79018156
707,707,16.55742468
708,708,16.66763328
709,709,16.62307968
710,710,16.60983855
711,711,16.51624689
712,712,16.57255082
713,713,16.54977495
714,714,16.55070895
715,715,16.64337905
716,716,16.65624272
717,717,16.68309894
718,718,16.682313
719,719,16.6370994
720,720,16.62161519
721,721,16.65584081
722,722,16.64924402
723,723,16.71217788
724,724,16.72554684
725,725,16.4854432
726,726,16.51033306
727,727,16.48629188
728,728,16.49376974
729,729,16.47100348
730,730,16.40817334
731,731,16.41390124
732,732,16.4685639
733,733,16.56637756
734,734,16.50320519
735,735,16.42139011
736,736,16.36383288
737,737,16.41588743
738,738,16.18263282
739,739,16.17917591
740,740,15.83406061
741,741,15.84229951
742,742,15.84345398
743,743,15.85272492
744,744,15.84332149
745,745,15.79485947
746,746,15.78923614
747,747,15.8010282
748,748,15.74340153
749,749,15.7397506
750,750,15.79212748
751,751,15.79034437
752,752,15.82629882
753,753,15.78027942
754,754,15.79196459
755,755,15.82940806
756,756,15.78302619
757,757,15.70553262
758,758,15.71109577
759,759,15.70617426
760,760,15.67208796
761,761,15.68360789
762,762,15.70146865
763,763,15.78038257
764,764,15.77447045
765,765,15.83232761
766,766,15.95732741
767,767,16.01611935
768,768,15.95607836
769,769,15.80065711
770,770,15.85274787
771,771,15.92184983
772,772,15.93280269
773,773,15.92849059
774,774,15.90194137
775,775,15.87453002
776,776,15.84840411
777,777,15.88935644
778,778,15.93601271
779,779,15.90973142
780,780,15.94551459
781,781,15.94392006
782,782,15.93594259
783,783,16.0129695
784,784,16.03161238
785,785,16.03578416
786,786,16.00787166
787,787,15.88538405
788,788,15.91988652
789,789,15.92458154
790,790,15.92619812
791,791,15.93081742
792,792,15.93559034
793,793,15.92100572
794,794,15.79813433
795,795,15.81840729
796,796,15.75390145
797,797,15.75415036
798,798,15.73086557
799,799,15.72494476
800,800,15.74317586
801,801,15.76381114
802,802,15.80390928
803,803,15.74232063
804,804,15.74577231
805,805,15.66307175
806,806,15.6926439
807,807,15.69621933
808,808,15.69727883
809,809,15.74333922
810,810,15.68873485
811,811,15.72808651
812,812,15.72484771
813,813,15.66750897
814,814,15.67048513
815,815,15.69448951
816,816,15.6071777
817,817,15.6407166
818,818,15.64571247
819,819,15.65280671
820,820,15.64429152
821,821,15.63723705
822,822,15.74713749
823,823,15.74422572
824,824,15.62972051
825,825,15.62308566
826,826,15.66483124
827,827,15.71168354
828,828,15.68582212
829,829,15.63672403
830,830,15.5796293
831,831,15.57462665
832,832,15.57647856
833,833,15.62578416
834,834,15.61152175
835,835,15.61606993
836,836,15.65198444
837,837,15.65366722
838,838,15.73179096
839,839,15.72430688
840,840,15.69753098
841,841,15.68625419
842,842,15.68697209
843,843,15.85485973
844,844,15.88794922
845,845,15.88496753
846,846,15.91644148
847,847,15.94245924
848,848,15.77511527
849,849,15.80732346
850,850,15.79849967
851,851,15.80092505
852,852,15.76763676
853,853,15.71192779
854,854,15.71634574
855,855,15.72170749
856,856,15.71337966
857,857,15.74964197
858,858,15.72277397
859,859,15.73469781
860,860,15.84341122
861,861,15.7871712
862,862,15.7967215
863,863,15.76299507
864,864,15.79314774
865,865,15.76524407
866,866,15.8052041
867,867,15.81741256
868,868,15.8386938
869,869,15.97666437
870,870,15.90342925
871,871,16.00377918
872,872,15.97539362
873,873,16.00506151
874,874,16.02638421
875,875,15.98905855
876,876,15.98009207
877,877,16.02927555
878,878,16.11438325
879,879,16.1049744
880,880,16.02435792
881,881,16.03043075
882,882,16.03319248
883,883,15.94019246
884,884,16.0220947
885,885,16.11697505
886,886,16.03540655
887,887,16.00100167
888,888,16.00828761
889,889,16.02220792
890,890,16.04335366
891,891,16.06212339
892,892,16.06105316
893,893,16.09480086
894,894,16.05051526
895,895,16.03683715
896,896,16.03821315
897,897,15.89432803
898,898,15.87640359
899,899,15.8686679
900,900,15.83254555
901,901,15.88435326
902,902,15.8784594
903,903,15.87263636
904,904,15.87299505
905,905,15.85303723
906,906,15.87260261
907,907,15.87062174
908,908,15.87379264
909,909,15.89898084
910,910,15.9930708
911,911,15.97578064
912,912,16.00458516
913,913,15.98695658
914,914,15.96486917
915,915,15.94985274
916,916,16.03365116
917,917,15.96101598
918,918,15.91503364
919,919,15.91740084
920,920,15.92641008
